time,signal
1766689835.742162,83
1766689835.9623659,83
1766689836.1889243,83
1766689836.4230602,83
1766689836.668405,83
1766689836.8959062,83
1766689837.1304758,83
1766689837.3544905,83
1766689837.5823772,83
1766689837.8118763,83
1766689838.0322301,83
1766689838.2523212,83
1766689838.4679968,83
1766689838.69697,83
1766689838.914267,83
1766689839.143014,83
1766689839.4028141,83
1766689839.6311963,83
1766689839.86268,83
1766689840.0849674,83
1766689840.321326,83
1766689840.5517037,83
1766689840.772739,83
1766689841.0332022,83
1766689841.2920918,83
1766689841.498866,83
1766689841.728478,83
1766689841.9624846,83
1766689842.1798184,83
1766689842.4004974,83
1766689842.6302817,83
1766689842.852598,83
1766689843.082826,83
1766689843.2944236,83
1766689843.513599,83
1766689843.7581682,83
1766689843.9908338,83
1766689844.1999054,83
1766689844.4065325,83
1766689844.6194348,83
1766689844.8556385,83
1766689845.0745115,83
1766689845.287947,83
1766689845.5410917,83
1766689845.7643328,83
1766689845.9744215,83
1766689846.2041922,83
1766689846.4764788,83
1766689846.713639,83
1766689846.9259055,83
1766689847.162368,83
1766689847.3891518,83
1766689847.623251,83
1766689847.8366318,83
1766689848.066339,83
1766689848.2960525,83
1766689848.5070755,83
1766689848.7151265,83
1766689848.956318,83
1766689849.1865485,83
1766689849.421778,83
1766689849.6629632,83
1766689849.8866045,83
1766689850.1172616,83
1766689850.3824852,83
1766689850.6038957,83
1766689850.8257747,83
1766689851.0562532,83
1766689851.279677,83
1766689851.5119755,83
1766689851.7227266,83
1766689851.9476116,83
1766689852.1846735,83
1766689852.393104,83
1766689852.62265,83
1766689852.8619812,83
1766689853.0854273,83
1766689853.3166971,83
1766689853.52976,83
1766689853.7614667,83
1766689853.994059,83
1766689854.2071898,83
1766689854.4418733,83
1766689854.6734731,83
1766689854.885441,83
1766689855.1200633,83
1766689855.3491473,83
1766689855.5587084,83
1766689855.786221,83
1766689856.012748,83
1766689856.2178586,83
1766689856.4522111,83
1766689856.6817763,83
1766689856.9110444,83
1766689857.140738,83
1766689857.4164338,83
1766689857.7130373,83
1766689857.9324875,83
1766689858.1636548,83
1766689858.3956828,83
1766689858.6209219,83
1766689858.846992,83
1766689859.0775318,83
1766689859.3028939,83
1766689859.5231192,83
1766689859.7434568,83
1766689859.9693296,83
1766689860.1884823,83
1766689860.4198027,83
1766689860.639789,83
1766689860.856518,83
1766689861.0675113,83
1766689861.3086033,83
1766689861.5450199,83
1766689861.7613049,83
1766689861.9945128,83
1766689862.230645,83
1766689862.4703186,83
1766689862.6980686,83
1766689862.9364808,83
1766689863.163279,83
1766689863.3962724,83
1766689863.622923,83
1766689863.846286,83
1766689864.0783389,83
1766689864.2974172,83
1766689864.5274665,83
1766689864.7532225,83
1766689864.9623902,83
1766689865.1893384,83
1766689865.4188042,83
1766689865.6463773,83
1766689865.8659265,83
1766689866.103652,83
1766689866.3347805,83
1766689866.5567174,83
1766689866.769371,83
1766689866.9866827,83
1766689867.21738,83
1766689867.4440064,83
1766689867.6568308,83
1766689867.881047,83
1766689868.1037369,83
1766689868.3426018,83
1766689868.5903559,83
1766689868.7948942,83
1766689869.017477,83
1766689869.2340329,83
1766689869.4647546,83
1766689869.6969028,83
1766689869.9113986,83
1766689870.1513429,83
1766689870.394222,83
1766689870.610241,83
1766689870.8263059,83
1766689871.0491958,83
1766689871.2726285,83
1766689871.5059853,83
1766689871.7301073,83
1766689871.9602096,83
1766689872.2048862,83
1766689872.4388583,83
1766689872.6384335,83
1766689872.8518498,83
1766689873.0686176,83
1766689873.302493,83
1766689873.546848,83
1766689873.8114784,83
1766689874.0351467,83
1766689874.2661614,83
1766689874.493424,83
1766689874.7308362,83
1766689874.9652398,83
1766689875.195381,83
1766689875.427687,83
1766689875.693183,83
1766689875.91202,83
1766689876.164755,83
1766689876.396873,83
1766689876.6369371,83
1766689876.852359,83
1766689877.0803893,83
1766689877.3116772,83
1766689877.5347967,83
1766689877.779555,83
1766689878.012852,81
1766689878.2442703,81
1766689878.4672546,81
1766689878.6878285,81
1766689878.9196258,81
1766689879.1674962,81
1766689879.3899107,81
1766689879.5980139,81
1766689879.8249793,81
1766689880.0846024,81
1766689880.3265705,81
1766689880.5608296,81
1766689880.8096082,81
1766689881.0279562,81
1766689881.249333,81
1766689881.4816923,81
1766689881.7292457,81
1766689881.963401,81
1766689882.181058,81
1766689882.4044375,81
1766689882.6267657,81
1766689882.8511634,81
1766689883.085102,81
1766689883.3090713,81
1766689883.5220263,81
1766689883.763674,81
1766689884.0134013,81
1766689884.246316,81
1766689884.4784214,81
1766689884.7364278,81
1766689884.963222,81
1766689885.200833,81
1766689885.4424903,81
1766689885.6660175,81
1766689885.9104836,81
1766689886.121061,81
1766689886.3354278,81
1766689886.5562723,81
1766689886.7879658,81
1766689887.0093184,81
1766689887.2457075,81
1766689887.4643376,81
1766689887.6759968,81
1766689887.905483,81
1766689888.1259134,81
1766689888.350154,81
1766689888.5633774,81
1766689888.7952392,81
1766689889.0164096,81
1766689889.2501643,81
1766689889.4943838,81
1766689889.7442656,81
1766689889.9787145,81
1766689890.2272978,81
1766689890.4321377,81
1766689890.6659644,81
1766689890.9061413,81
1766689891.1392012,81
1766689891.372034,81
1766689891.6076522,81
1766689891.8401158,81
1766689892.0589538,81
1766689892.2832623,81
1766689892.5142732,81
1766689892.7398884,81
1766689892.9535344,81
1766689893.1804554,81
1766689893.4246254,81
1766689893.677843,81
1766689893.9230802,82
1766689894.2842824,82
1766689894.5029216,82
1766689894.7210245,82
1766689894.9721892,82
1766689895.2140188,82
1766689895.5764766,82
1766689895.831633,82
1766689896.0674927,82
1766689896.3041108,82
1766689896.5170693,82
1766689896.8304493,82
1766689897.0930133,82
1766689897.303852,82
1766689897.5325625,82
1766689897.7515996,82
1766689897.9687774,82
1766689898.2201598,82
1766689898.439767,82
1766689898.6615307,82
1766689898.9153316,82
1766689899.15258,82
1766689899.3863413,82
1766689899.6109293,82
1766689899.8488526,82
1766689900.0689778,82
1766689900.2938673,82
1766689900.5260181,82
1766689900.807445,82
1766689901.043494,82
1766689901.42203,82
1766689901.6361713,82
1766689901.864545,82
1766689902.0796943,82
1766689902.3083959,82
1766689902.5330956,82
1766689902.7733133,82
1766689903.0069485,82
1766689903.2355967,82
1766689903.4651122,82
1766689903.7036712,82
1766689903.940829,82
1766689904.1718726,82
1766689904.4012003,82
1766689904.615503,82
1766689904.8580303,82
1766689905.074823,82
1766689905.289226,82
1766689905.5008786,82
1766689905.7535017,82
1766689906.0408545,82
1766689906.2607336,82
1766689906.5287678,82
1766689906.7912588,82
1766689907.008851,82
1766689907.2288089,82
1766689907.4834917,82
1766689907.703123,82
1766689907.9361608,82
1766689908.184669,82
1766689908.414694,82
1766689908.6368499,82
1766689908.869384,82
1766689909.1095464,82
1766689909.3359847,82
1766689909.5512023,82
1766689909.7645822,82
1766689910.0168068,82
1766689910.2308774,82
1766689910.5203164,82
1766689910.7373018,82
1766689910.9550948,82
1766689911.1691625,82
1766689911.3932567,82
1766689911.6129792,82
1766689911.8875153,82
1766689912.1470025,82
1766689912.3943853,82
1766689912.61433,82
1766689912.8542888,82
1766689913.1080046,82
1766689913.3182034,82
1766689913.5653195,82
1766689913.806988,82
1766689914.0307567,82
1766689914.2775154,82
1766689914.5164413,82
1766689914.7597876,82
1766689914.9845617,82
1766689915.203647,82
1766689915.4326632,82
1766689915.6639118,82
1766689915.9214208,82
1766689916.146024,82
1766689916.392705,82
1766689916.6441011,82
1766689916.8901892,82
1766689917.121877,82
1766689917.3776064,82
1766689917.5990393,82
1766689917.8528793,82
1766689918.0939867,82
1766689918.3473356,82
1766689918.5914173,82
1766689918.8291373,82
1766689919.057232,82
1766689919.3008108,82
1766689919.5258956,82
1766689919.7816353,82
1766689920.025403,82
1766689920.2484193,82
1766689920.4712305,82
1766689920.7127364,82
1766689920.940019,82
1766689921.1691778,82
1766689921.408329,82
1766689921.6341026,81
1766689921.8678288,81
1766689922.1031694,81
1766689922.3376207,81
1766689922.5606499,81
1766689922.7971997,81
1766689923.0382884,81
1766689923.2712476,81
1766689923.5184677,81
1766689923.7764165,81
1766689924.0133922,81
1766689924.244867,81
1766689924.4785192,81
1766689924.7349038,81
1766689924.9870636,81
1766689925.2078824,81
1766689925.424563,81
1766689925.6436179,81
1766689925.882809,81
1766689926.111566,81
1766689926.3283236,81
1766689926.5505733,81
1766689926.7666438,81
1766689927.0054662,81
1766689927.2526865,81
1766689927.480569,81
1766689927.7075596,81
1766689927.9387567,81
1766689928.1765332,81
1766689928.4145637,81
1766689928.6469262,81
1766689928.9011395,81
1766689929.15325,81
1766689929.391027,81
1766689929.6378741,81
1766689929.892585,81
1766689930.1242483,81
1766689930.3879793,81
1766689930.6281674,81
1766689930.8842518,81
1766689931.1033726,81
1766689931.3253963,81
1766689931.5423605,81
1766689931.7791808,81
1766689932.0271313,81
1766689932.270433,81
1766689932.5206828,81
1766689932.7241673,81
1766689933.036497,81
1766689933.2644293,81
1766689933.4905472,81
1766689933.719025,81
1766689933.9670882,81
1766689934.2017367,81
1766689934.4346607,81
1766689934.672703,81
1766689934.912163,81
1766689935.1245818,81
1766689935.3595843,81
1766689935.59604,81
1766689935.8298683,81
1766689936.059092,81
1766689936.2832565,83
1766689936.5006742,83
1766689936.7521753,83
1766689936.9946601,83
1766689937.2324252,83
1766689937.4752407,83
1766689937.7068489,83
1766689937.9505525,83
1766689938.1758518,83
1766689938.4112604,83
1766689938.6511612,83
1766689938.8814392,83
1766689939.126588,83
1766689939.3750944,83
1766689939.6284227,83
1766689939.878911,83
1766689940.119937,83
1766689940.334791,83
1766689940.564355,83
1766689940.8118932,83
1766689941.0333557,83
1766689941.2719407,83
1766689941.4995809,83
1766689941.7365692,83
1766689941.9567285,83
1766689942.1923566,83
1766689942.4423387,83
1766689942.6998005,83
1766689942.932835,83
1766689943.157883,83
1766689943.3822997,83
1766689943.6207666,83
1766689943.8487625,83
1766689944.0869143,83
1766689944.3125465,83
1766689944.5413475,83
1766689944.7787223,83
1766689945.0304017,83
1766689945.2496572,83
1766689945.4964654,83
1766689945.7414284,83
1766689945.9630802,83
1766689946.1923969,83
1766689946.406314,83
1766689946.6373765,83
1766689946.8733099,83
1766689947.1043878,83
1766689947.4159706,83
1766689947.6259274,83
1766689947.874049,83
1766689948.1116438,83
1766689948.3538735,83
1766689948.5912805,83
1766689948.8020947,83
1766689949.0098648,83
1766689949.2063081,83
1766689949.3923266,83
1766689949.597019,83
1766689949.795791,83
1766689950.007687,83
1766689950.249368,83
1766689950.4566329,83
1766689950.686087,83
1766689950.9160736,83
1766689951.1466935,83
1766689951.4350977,83
1766689951.6402552,83
1766689951.869938,83
1766689952.232191,83
1766689952.4462016,83
1766689952.6581793,83
1766689952.8939266,83
1766689953.1282604,83
1766689953.3596697,83
1766689953.5844193,83
1766689953.799218,83
1766689954.019622,83
1766689954.2514033,83
1766689954.4837327,83
1766689954.7206292,83
1766689954.953242,83
1766689955.1909935,83
1766689955.4337347,83
1766689955.6937218,83
1766689955.9145465,83
1766689956.1307948,83
1766689956.3932285,83
1766689956.621511,83
1766689956.84564,83
1766689957.0606763,83
1766689957.281993,83
1766689957.4998572,83
1766689957.7237756,83
1766689957.9805613,83
1766689958.2226088,83
1766689958.4414792,83
1766689958.658186,83
1766689958.8867762,83
1766689959.107316,83
1766689959.3200486,83
1766689959.539146,83
1766689959.78262,83
1766689959.9986103,83
1766689960.266829,83
1766689960.4790475,83
1766689960.7046108,83
1766689960.9241729,83
1766689961.157535,83
1766689961.3796606,83
1766689961.6069732,83
1766689961.8382912,83
1766689962.083637,83
1766689962.3019252,83
1766689962.5243292,83
1766689962.7566488,83
1766689962.9909909,83
1766689963.2076373,83
1766689963.4382186,83
1766689963.6893137,83
1766689963.914931,83
