time,signal
1766689995.6066022,83
1766689995.8543782,83
1766689996.1425655,83
1766689996.3771422,83
1766689996.6098437,83
1766689996.8439279,83
1766689997.07972,83
1766689997.3290014,83
1766689997.5707538,83
1766689997.8061836,83
1766689998.0251405,83
1766689998.2527828,83
1766689998.4700394,83
1766689998.6915455,83
1766689999.078475,83
1766689999.2972918,83
1766689999.5520716,83
1766689999.792906,83
1766690000.035829,83
1766690000.2831287,83
1766690000.513986,83
1766690000.7691891,83
1766690001.0067034,83
1766690001.237874,83
1766690001.4800594,83
1766690001.7057362,83
1766690001.9342878,83
1766690002.1576202,83
1766690002.3793588,83
1766690002.6037562,83
1766690002.8510334,83
1766690003.0843,83
1766690003.3091476,83
1766690003.559585,83
1766690003.7972372,83
1766690004.0641541,83
1766690004.3092923,83
1766690004.6122699,83
1766690004.8283803,83
1766690005.0658398,83
1766690005.3055604,83
1766690005.5422099,83
1766690005.797238,83
1766690006.0081747,83
1766690006.2455988,83
1766690006.477805,83
1766690006.7059011,83
1766690006.9348361,83
1766690007.1611323,83
1766690007.4119961,83
1766690007.634673,83
1766690007.8615544,83
1766690008.1007187,83
1766690008.3239484,83
1766690008.5865216,83
1766690008.8247595,83
1766690009.1796427,83
1766690009.4329631,83
1766690009.66237,83
1766690009.887419,83
1766690010.1097453,83
1766690010.3585236,83
1766690010.6053367,83
1766690010.8390467,83
1766690011.077354,83
1766690011.3066032,83
1766690011.5494237,83
1766690011.8061519,83
1766690012.0502412,83
1766690012.2741492,82
1766690012.5140114,82
1766690012.7574515,82
1766690012.9705358,82
1766690013.1960351,82
1766690013.4397547,82
1766690013.6746306,82
1766690013.8917792,82
1766690014.1293912,82
1766690014.3632004,82
1766690014.6053386,82
1766690014.8359637,82
1766690015.0612745,82
1766690015.2899158,82
1766690015.5078602,82
1766690015.7141747,82
1766690015.9212806,82
1766690016.1499653,82
1766690016.402442,82
1766690016.6438866,82
1766690016.8826323,82
1766690017.1188645,82
1766690017.3490229,82
1766690017.5757706,82
1766690017.8137238,82
1766690018.055051,82
1766690018.2963567,82
1766690018.538219,82
1766690018.7554898,82
1766690018.9756205,82
1766690019.224141,82
1766690019.4608815,82
1766690019.6940618,82
1766690019.9350271,82
1766690020.1862924,82
1766690020.410587,82
1766690020.6599076,82
1766690020.8976653,82
1766690021.1219864,82
1766690021.372302,82
1766690021.6048243,82
1766690021.8575554,82
1766690022.0979977,82
1766690022.3233006,82
1766690022.550344,82
1766690022.7737617,82
1766690022.9944382,82
1766690023.2268264,82
1766690023.471081,82
1766690023.7165368,82
1766690023.944268,82
1766690024.1893125,82
1766690024.446039,82
1766690024.7360559,82
1766690024.9806156,82
1766690025.2121058,82
1766690025.4614236,82
1766690025.6998317,82
1766690025.9271505,82
1766690026.1963618,82
1766690026.4517028,82
1766690026.6914792,82
1766690026.9259677,82
1766690027.145174,82
1766690027.3761582,82
1766690027.6133168,82
1766690027.835847,82
1766690028.046643,82
1766690028.2666857,82
1766690028.48681,82
1766690028.7284422,82
1766690028.9673548,82
1766690029.2182393,82
1766690029.449411,82
1766690029.693667,82
1766690029.9264762,82
1766690030.167362,82
1766690030.408117,82
1766690030.6283479,82
1766690030.9530818,82
1766690031.1798947,82
1766690031.4142568,82
1766690031.6643891,82
1766690031.9108624,82
1766690032.1758995,82
1766690032.3975306,83
1766690032.6563668,83
1766690032.8955479,83
1766690033.1272087,83
1766690033.3538122,83
1766690033.5811684,83
1766690033.8029146,83
1766690034.0318782,83
1766690034.2543156,83
1766690034.4683082,83
1766690034.706306,83
1766690034.9212494,83
1766690035.1618679,83
1766690035.3837142,83
1766690035.6168952,83
1766690035.85308,83
1766690036.1009934,83
1766690036.3297582,83
